종목코드,자본총계(원),총주식수
417790,109400000000.0,10351715
006040,3528000000000.0,44139043
009180,143600000000.0,28149134
058850,212700000000.0,37938729
192400,1321700000000.0,31078385
240550,122900000000.0,20933940
081580,113000000000.0,15204699
007810,439800000000.0,23982620
297090,101000000000.0,27270000
051500,455200000000.0,11871586
009770,287000000000.0,2499971
054670,139900000000.0,14035289
378850,166900000000.0,18990786
003010,127600000000.0,9797756
297570,46400000000.0,33936096
036800,396000000000.0,8735950
025770,335800000000.0,35145194
212560,137600000000.0,11811835
081660,1932100000000.0,52660639
443250,48300000000.0,10927204
137400,692900000000.0,23304599
038390,201300000000.0,16720822
013030,454400000000.0,11768144
297890,246200000000.0,73140914
192080,1185900000000.0,19456465
016740,276200000000.0,28360974
100220,199800000000.0,12251515
049520,201400000000.0,30370586
009410,607600000000.0,297584728
474610,49400000000.0,14114220
121890,12000000000.0,13291446
005440,4000100000000.0,152483716
027710,282100000000.0,110602261
262840,52900000000.0,10229730
033240,444700000000.0,20524522
352090,93800000000.0,26872998
051370,310400000000.0,23327472
187870,161000000000.0,13466902
054800,371800000000.0,8713433
013580,945600000000.0,8918147
014970,57300000000.0,14825000
061090,176200000000.0,5474979
114090,441500000000.0,61855670
044820,275500000000.0,9554839
451250,44400000000.0,9824377
000810,21257800000000.0,39828296
000500,483800000000.0,16543115
037030,152200000000.0,25507359
037350,274000000000.0,14953000
290720,35000000000.0,35122142
024800,530500000000.0,33398928
285490,158900000000.0,9701719
005930,424313300000000.0,5764191903
083500,83800000000.0,7726377
232680,35700000000.0,12806772
012630,2920900000000.0,49501701
050890,352700000000.0,59923145
000370,2669600000000.0,115620426
080010,141000000000.0,9232581
129890,62100000000.0,45545602
036570,3364900000000.0,19473333
010240,118300000000.0,11485209
457550,51100000000.0,9318958
023160,624600000000.0,25867242
036640,129600000000.0,16354800
206640,231300000000.0,21707921
080530,58700000000.0,10954664
002840,416400000000.0,4496304
259960,7041400000000.0,42535298
128660,73800000000.0,24803369
054540,80200000000.0,13000000
095340,536600000000.0,21142451
196700,40400000000.0,14364144
014580,235500000000.0,27583100
003780,67100000000.0,13000000
322000,417800000000.0,11200000
281820,530200000000.0,19734079
263020,76800000000.0,13646146
015750,1696400000000.0,79991593
464280,42800000000.0,5288500
047810,1830200000000.0,97475107
271560,3808700000000.0,39528788
078150,285100000000.0,88854618
005430,405200000000.0,3058211
086450,663700000000.0,45110727
131290,391300000000.0,11061429
012750,1756300000000.0,33810239
310200,119600000000.0,52162836
337930,116200000000.0,29676475
009470,94000000000.0,6613820
041830,317800000000.0,13341476
004140,175700000000.0,47794806
