종목코드,종목명,시장,ROE(%),예상ROE(%),현재가,적정주가(S-RIM),보수적주가(S-RIM),예상적정주가(S-RIM),예상보수적주가(S-RIM),정렬기준(%)
049520,유아이엘,KOSDAQ,11.23,0.0,3970,7150,6870,0,0,80.1
027710,팜스토리,KOSDAQ,11.16,0.0,1518,2730,2630,0,0,79.84
001560,제일연마,KOSPI,13.12,0.0,11520,20630,18330,0,0,79.08
059100,아이컴포넌트,KOSDAQ,14.37,0.0,5310,9470,8060,0,0,78.34
067290,JW신약,KOSDAQ,46.3,0.0,1820,3240,1880,0,0,78.02
215200,메가스터디교육,KOSDAQ,18.03,14.96,47250,83160,64150,69000,57650,76.0
003350,한국화장품제조,KOSPI,30.6,0.0,9660,16980,10920,0,0,75.78
036800,나이스정보통신,KOSDAQ,11.45,10.35,28900,49860,47410,45070,45210,72.53
215360,우리산업,KOSDAQ,12.2,0.0,9220,15500,14270,0,0,68.11
054670,대한뉴팜,KOSDAQ,11.5,0.0,6610,11010,10450,0,0,66.57
011560,세보엠이씨,KOSDAQ,13.86,0.0,22100,36770,31820,0,0,66.38
088390,이녹스,KOSDAQ,12.9,0.0,13900,23120,20700,0,0,66.33
058630,엠게임,KOSDAQ,12.28,0.0,5070,8410,7720,0,0,65.88
332370,아이디피,KOSDAQ,15.7,0.0,5280,8730,7140,0,0,65.34
009180,한솔로지스틱스,KOSPI,11.59,0.0,3440,5680,5370,0,0,65.12
171090,선익시스템,KOSDAQ,101.48,29.12,92500,149710,77030,42960,28030,61.85
192400,쿠쿠홀딩스,KOSPI,11.56,0.0,29200,47230,44680,0,0,61.75
021080,에이티넘인베스트,KOSDAQ,12.96,0.0,3450,5540,4950,0,0,60.58
067280,멀티캠퍼스,KOSDAQ,11.72,0.0,27300,43790,41140,0,0,60.4
211050,인카금융서비스,KOSDAQ,39.66,0.0,10440,16730,10050,0,0,60.25
001750,한양증권,KOSPI,10.32,0.0,28550,45310,45530,0,0,58.7
036640,HRS,KOSDAQ,10.72,0.0,5170,8160,8030,0,0,57.83
045340,토탈소프트,KOSDAQ,26.65,0.0,7110,11190,7500,0,0,57.38
037350,성도이엔지,KOSDAQ,10.9,0.0,12260,19190,18720,0,0,56.53
262840,아이퀘스트,KOSDAQ,11.15,0.0,3540,5540,5340,0,0,56.5
002810,삼영무역,KOSPI,10.06,0.0,20950,32740,33360,0,0,56.28
290270,휴네시온,KOSDAQ,11.83,0.0,3995,6210,5800,0,0,55.44
051500,CJ프레시웨이,KOSDAQ,11.51,12.92,27450,42400,40200,47590,42590,54.46
051360,토비스,KOSDAQ,16.58,0.0,19410,29890,23880,0,0,53.99
417790,트루엔,KOSDAQ,11.61,0.0,7660,11790,11130,0,0,53.92
009970,영원무역홀딩스,KOSPI,12.83,0.0,209000,320220,287550,0,0,53.22
037460,삼지전자,KOSDAQ,16.89,0.0,36300,55470,43960,0,0,52.81
418470,KT밀리의서재,KOSDAQ,20.03,0.0,12780,19520,14450,0,0,52.74
071050,한국금융지주,KOSPI,18.66,15.88,268500,408210,310580,347400,282660,52.03
263020,디케이앤디,KOSDAQ,10.53,0.0,3755,5690,5660,0,0,51.53
130580,나이스디앤비,KOSDAQ,11.69,0.0,5590,8430,7930,0,0,50.81
010690,화신,KOSPI,12.25,0.0,12890,19350,17780,0,0,50.12
094850,참좋은여행,KOSDAQ,11.69,0.0,5540,8310,7820,0,0,50.0
196700,웹스,KOSDAQ,10.59,0.0,1915,2860,2830,0,0,49.35
039420,케이엘넷,KOSDAQ,14.85,0.0,3120,4650,3900,0,0,49.04
071200,인피니트헬스케어,KOSDAQ,14.66,0.0,7430,11070,9340,0,0,48.99
200670,휴메딕스,KOSDAQ,19.61,0.0,34500,50930,38000,0,0,47.62
