종목코드,종목명,시장,ROE(%),자본총계(원),총주식수,적정주가(S-RIM),보수적주가(S-RIM)
094280,효성ITX,KOSPI,21.21,75100000000.0,11038365,13880,10050
119850,지엔씨에너지,KOSDAQ,21.15,218800000000.0,16022905,27770,20130
408920,메쎄이상,KOSDAQ,20.79,79500000000.0,42360204,3750,2740
090150,아이윈,KOSDAQ,20.77,46200000000.0,39715836,2320,1700
001450,현대해상,KOSPI,20.6,5157500000000.0,79308500,128810,94290
079900,전진건설로봇,KOSPI,20.58,155500000000.0,14529068,21180,15510
340570,티앤엘,KOSDAQ,20.44,201200000000.0,8017131,49320,36210
323350,다원넥스뷰,KOSDAQ,20.38,18800000000.0,8006301,4600,3380
006910,보성파워텍,KOSDAQ,20.26,110200000000.0,48929824,4390,3230
010820,퍼스텍,KOSPI,20.16,82500000000.0,48771938,3280,2420
017800,현대엘리베이터,KOSPI,20.1,1352100000000.0,36105062,72380,53480
034950,한국기업평가,KOSDAQ,20.08,132300000000.0,4460871,57260,42320
418470,KT밀리의서재,KOSDAQ,20.03,86900000000.0,8565789,19540,14460
080580,오킨스전자,KOSDAQ,19.93,50400000000.0,20614442,4690,3470
189860,서전기전,KOSDAQ,19.86,38400000000.0,9698780,7560,5610
143540,영우디에스피,KOSDAQ,19.84,30700000000.0,43686800,1340,1000
039130,하나투어,KOSPI,19.79,147500000000.0,14665179,19140,14220
200670,휴메딕스,KOSDAQ,19.61,299600000000.0,11081996,50980,38020
089890,코세스,KOSDAQ,19.58,74000000000.0,16584962,8400,6270
031980,피에스케이홀딩스,KOSDAQ,19.55,506400000000.0,21562395,44150,32970
207940,삼성바이오로직스,KOSPI,19.44,7451100000000.0,46239518,301210,225410
015760,한국전력,KOSPI,19.4,48169900000000.0,641964077,139970,104830
013700,까뮤이앤씨,KOSPI,19.4,112400000000.0,59750830,3510,2630
084440,유비온,KOSDAQ,19.36,7600000000.0,18232042,780,580
425420,티에프이,KOSDAQ,19.3,109200000000.0,12037463,16830,12630
093520,매커스,KOSDAQ,19.3,125700000000.0,6167678,37820,28380
017960,한국카본,KOSPI,19.3,580200000000.0,51074372,21080,15820
241710,코스메카코리아,KOSDAQ,19.29,252700000000.0,10680000,43890,32940
462860,더즌,KOSDAQ,19.29,73100000000.0,70798620,1920,1440
080220,제주반도체,KOSDAQ,19.21,227100000000.0,33683104,12450,9360
079550,LIG디펜스앤에어로스페이스,KOSPI,19.2,1430100000000.0,21845250,120860,90880
012450,한화에어로스페이스,KOSPI,19.14,9684900000000.0,51448788,346440,260830
103590,일진전기,KOSPI,19.08,588700000000.0,47677269,22650,17080
187790,나노,KOSDAQ,19.01,42700000000.0,30668361,2540,1920
069510,에스텍,KOSDAQ,18.98,235000000000.0,8410000,51000,38520
000540,흥국화재,KOSPI,18.85,836900000000.0,64242645,23610,17880
329180,HD현대중공업,KOSPI,18.82,9341600000000.0,104961225,161060,122060
377460,큐에이드,KOSDAQ,18.78,56800000000.0,62055687,1650,1250
071050,한국금융지주,KOSPI,18.66,12010300000000.0,52738513,408610,310720
082920,비츠로셀,KOSDAQ,18.56,330500000000.0,44934528,13130,10000
073240,금호타이어,KOSPI,18.53,2029400000000.0,287260287,12590,9600
183300,코미코,KOSDAQ,18.52,270300000000.0,10084626,47730,36410
123410,코리아에프티,KOSDAQ,18.48,260500000000.0,27841059,16630,12690
462980,아이지넷,KOSDAQ,18.38,22100000000.0,18234437,2140,1640
104460,디와이피엔에프,KOSDAQ,18.26,149800000000.0,9470498,27770,21300
469610,이노테크,KOSDAQ,18.16,61800000000.0,8934900,12080,9280
021240,코웨이,KOSPI,18.14,3613700000000.0,70128913,89880,69130
086280,현대글로비스,KOSPI,18.13,10351200000000.0,75000000,240600,185080
039490,키움증권,KOSPI,18.12,6704400000000.0,26228316,445360,342680
215200,메가스터디교육,KOSDAQ,18.03,497100000000.0,10353256,83240,64180
333430,일승,KOSDAQ,17.79,45800000000.0,30680679,2550,1980
009540,HD한국조선해양,KOSPI,17.78,13286100000000.0,70714630,321210,249060
020710,시공테크,KOSDAQ,17.77,185600000000.0,18863265,16810,13040
204610,티쓰리,KOSDAQ,17.72,95400000000.0,50224832,3240,2510
005830,DB손해보험,KOSPI,17.72,10880800000000.0,60643469,305710,237370
080160,모두투어,KOSDAQ,17.71,92500000000.0,18900000,8330,6470
227950,엔투텍,KOSDAQ,17.7,127700000000.0,34508209,6300,4890
018500,동원금속,KOSPI,17.68,133000000000.0,46744805,4840,3760
030190,NICE평가정보,KOSPI,17.62,463900000000.0,58373440,13460,10480
001060,JW중외제약,KOSPI,17.6,369400000000.0,22549518,27720,21590
064400,LG씨엔에스,KOSPI,17.35,2932800000000.0,96885948,50500,39550
099410,동방선기,KOSDAQ,17.34,49800000000.0,13946055,5950,4660
089970,브이엠,KOSDAQ,17.33,177200000000.0,24771995,11920,9340
179290,엠아이텍,KOSDAQ,17.32,125900000000.0,32365678,6480,5080
318160,셀바이오휴먼텍,KOSDAQ,16.91,56700000000.0,8358060,11030,8730
037460,삼지전자,KOSDAQ,16.89,484400000000.0,14167507,55530,43980
481070,에이유브랜즈,KOSDAQ,16.83,68500000000.0,14260000,7770,6170
140860,파크시스템스,KOSDAQ,16.69,225100000000.0,6954230,51950,41350
265740,엔에프씨,KOSDAQ,16.68,65400000000.0,17863600,5870,4680
067730,로지시스,KOSDAQ,16.63,21000000000.0,9673922,3470,2770
051360,토비스,KOSDAQ,16.58,280000000000.0,14917843,29920,23890
003720,삼영,KOSPI,16.58,85500000000.0,32923945,4140,3300
307280,원바이오젠,KOSDAQ,16.55,42700000000.0,6805997,9980,7980
031330,에스에이엠티,KOSDAQ,16.55,486100000000.0,97545067,7930,6340
060250,NHN KCP,KOSDAQ,16.35,294600000000.0,37716317,12280,9860
058860,KTis,KOSPI,16.29,238500000000.0,30573062,12220,9830
014940,오리엔탈정공,KOSDAQ,16.26,125400000000.0,45547289,4300,3460
042000,카페24,KOSDAQ,16.23,265900000000.0,24103284,17220,13870
295310,에이치브이엠,KOSDAQ,16.15,90100000000.0,12027291,11630,9390
083450,GST,KOSDAQ,16.15,301200000000.0,17949419,26060,21040
003090,대웅,KOSPI,16.11,1176600000000.0,40890710,44570,36020
950140,잉글우드랩,KOSDAQ,16.09,164600000000.0,19867866,12820,10360
145020,휴젤,KOSDAQ,16.06,950300000000.0,10797092,135910,109990
007610,선도전기,KOSPI,16.0,35700000000.0,16969019,3240,2620
012510,더존비즈온,KOSPI,16.0,615200000000.0,25686600,36850,29870
356860,티엘비,KOSDAQ,15.99,126100000000.0,9722630,19940,16170
023590,다우기술,KOSPI,15.95,3446400000000.0,43150849,122490,99420
007370,진양제약,KOSDAQ,15.93,159900000000.0,14134587,17330,14070
332570,PS일렉트로닉스,KOSDAQ,15.91,130400000000.0,46158109,4320,3510
078520,에이블씨엔씨,KOSPI,15.88,86600000000.0,23538627,5620,4570
053270,구영테크,KOSDAQ,15.87,154000000000.0,27410405,8570,6970
402490,그린리소스,KOSDAQ,15.86,69900000000.0,16693064,6390,5200
095610,테스,KOSDAQ,15.76,391800000000.0,17734126,33480,27320
012280,영화금속,KOSPI,15.74,81500000000.0,48594505,2540,2070
198080,캐프,KOSDAQ,15.73,131600000000.0,21535185,9240,7550
303360,프로티아,KOSDAQ,15.72,30700000000.0,12879715,3600,2940
332370,아이디피,KOSDAQ,15.7,69000000000.0,11921444,8740,7140
020180,대신정보통신,KOSDAQ,15.66,38900000000.0,38428915,1520,1250
282330,BGF리테일,KOSPI,15.64,1313100000000.0,17275015,114310,93580
041930,SY동아,KOSDAQ,15.64,186800000000.0,14585633,19260,15770
473980,노머스,KOSDAQ,15.64,103700000000.0,11057322,14100,11550
053060,세동,KOSDAQ,15.6,40300000000.0,17656882,3420,2810
