종목코드,종목명,시장,ROE(%),자본총계(원),총주식수,예상ROE(%),적정주가(S-RIM),보수적주가(S-RIM),예상적정주가(S-RIM),예상보수적주가(S-RIM),할인율(%)
042660,한화오션,KOSPI,22.59,6170300000000.0,306357807,21.36,43710,30960,41330,29870,10.41
138040,메리츠금융지주,KOSPI,22.53,10322600000000.0,163506176,20.01,136640,96870,121350,89860,10.41
098070,한텍,KOSDAQ,22.45,162400000000.0,11121141,0.0,31490,22360,0,0,10.41
058470,리노공업,KOSDAQ,22.45,731200000000.0,75895600,0.0,20780,14750,0,0,10.41
114840,아이패밀리에스씨,KOSDAQ,22.28,104500000000.0,17029455,0.0,13130,9350,0,0,10.41
077970,STX엔진,KOSPI,22.26,343000000000.0,40138766,23.15,18270,13010,19000,13350,10.41
148150,세경하이테크,KOSDAQ,22.13,235800000000.0,33987221,0.0,14750,10520,0,0,10.41
259630,엠플러스,KOSDAQ,22.12,102000000000.0,11899483,0.0,18210,13000,0,0,10.41
368770,파이버프로,KOSDAQ,22.06,45800000000.0,32760225,0.0,2960,2120,0,0,10.41
069620,대웅제약,KOSPI,21.75,1006100000000.0,11506270,15.78,182690,131160,132540,108140,10.41
484590,삼양컴텍,KOSDAQ,21.6,156500000000.0,41210450,0.0,7880,5670,0,0,10.41
229640,LS에코에너지,KOSPI,21.43,209200000000.0,30624879,20.04,14060,10150,13150,9730,10.41
173130,오파스넷,KOSDAQ,21.36,64700000000.0,13043084,0.0,10180,7360,0,0,10.41
101490,에스앤에스텍,KOSDAQ,21.24,303000000000.0,20829604,0.0,29680,21490,0,0,10.41
094280,효성ITX,KOSPI,21.21,75100000000.0,11038365,0.0,13860,10040,0,0,10.41
119850,지엔씨에너지,KOSDAQ,21.15,218800000000.0,16022905,0.0,27740,20120,0,0,10.41
408920,메쎄이상,KOSDAQ,20.79,79500000000.0,42360204,0.0,3750,2740,0,0,10.41
090150,아이윈,KOSDAQ,20.77,46200000000.0,39715836,0.0,2320,1690,0,0,10.41
001450,현대해상,KOSPI,20.6,5157500000000.0,79308500,14.89,128690,94250,93020,77880,10.41
079900,전진건설로봇,KOSPI,20.58,155500000000.0,14529068,23.33,21160,15500,23990,16800,10.41
340570,티앤엘,KOSDAQ,20.44,201200000000.0,8017131,20.06,49280,36200,48360,35780,10.41
323350,다원넥스뷰,KOSDAQ,20.38,18800000000.0,8006301,0.0,4600,3380,0,0,10.41
006910,보성파워텍,KOSDAQ,20.26,110200000000.0,48929824,0.0,4380,3230,0,0,10.41
010820,퍼스텍,KOSPI,20.16,82500000000.0,48771938,0.0,3280,2420,0,0,10.41
017800,현대엘리베이터,KOSPI,20.1,1352100000000.0,36105062,0.0,72310,53450,0,0,10.41
034950,한국기업평가,KOSDAQ,20.08,132300000000.0,4460871,0.0,57210,42300,0,0,10.41
418470,KT밀리의서재,KOSDAQ,20.03,86900000000.0,8565789,0.0,19520,14450,0,0,10.41
080580,오킨스전자,KOSDAQ,19.93,50400000000.0,20614442,0.0,4680,3470,0,0,10.41
189860,서전기전,KOSDAQ,19.86,38400000000.0,9698780,0.0,7550,5610,0,0,10.41
143540,영우디에스피,KOSDAQ,19.84,30700000000.0,43686800,0.0,1340,990,0,0,10.41
039130,하나투어,KOSPI,19.79,147500000000.0,14665179,28.7,19120,14220,27730,18170,10.41
200670,휴메딕스,KOSDAQ,19.61,299600000000.0,11081996,0.0,50930,38000,0,0,10.41
089890,코세스,KOSDAQ,19.58,74000000000.0,16584962,0.0,8390,6270,0,0,10.41
031980,피에스케이홀딩스,KOSDAQ,19.55,506400000000.0,21562395,22.95,44110,32950,51780,36470,10.41
207940,삼성바이오로직스,KOSPI,19.44,7451100000000.0,46239518,19.39,300920,225310,300150,224950,10.41
015760,한국전력,KOSPI,19.4,48169900000000.0,641964077,13.68,139840,104780,98610,85850,10.41
013700,까뮤이앤씨,KOSPI,19.4,112400000000.0,59750830,0.0,3510,2630,0,0,10.41
084440,유비온,KOSDAQ,19.36,7600000000.0,18782421,0.0,750,560,0,0,10.41
425420,티에프이,KOSDAQ,19.3,109200000000.0,12037463,0.0,16820,12630,0,0,10.41
093520,매커스,KOSDAQ,19.3,125700000000.0,6167678,18.29,37790,28370,35810,27460,10.41
017960,한국카본,KOSPI,19.3,580200000000.0,51074372,20.62,21060,15810,22500,16470,10.41
241710,코스메카코리아,KOSDAQ,19.29,252700000000.0,10680000,20.03,43840,32930,45530,33700,10.41
462860,더즌,KOSDAQ,19.29,73100000000.0,70659600,0.0,1920,1440,0,0,10.41
080220,제주반도체,KOSDAQ,19.21,227100000000.0,33683104,0.0,12440,9360,0,0,10.41
079550,LIG디펜스앤에어로스페이스,KOSPI,19.2,1430100000000.0,21845250,27.22,120740,90840,171180,113990,10.41
012450,한화에어로스페이스,KOSPI,19.14,9684900000000.0,51448788,20.05,346110,260710,362560,268260,10.41
103590,일진전기,KOSPI,19.08,588700000000.0,47677269,23.25,22630,17070,27580,19340,10.41
187790,나노,KOSDAQ,19.01,42700000000.0,30668361,0.0,2540,1920,0,0,10.41
069510,에스텍,KOSDAQ,18.98,235000000000.0,8410000,0.0,50950,38500,0,0,10.41
000540,흥국화재,KOSPI,18.85,836900000000.0,64242645,0.0,23590,17880,0,0,10.41
329180,HD현대중공업,KOSPI,18.82,9341600000000.0,104932774,24.31,160950,122040,207900,143590,10.41
377460,큐에이드,KOSDAQ,18.78,56800000000.0,62055687,0.0,1650,1250,0,0,10.41
071050,한국금융지주,KOSPI,18.66,12010300000000.0,52738513,15.88,408210,310580,347400,282660,10.41
082920,비츠로셀,KOSDAQ,18.56,330500000000.0,44934528,20.32,13110,10000,14360,10570,10.41
073240,금호타이어,KOSPI,18.53,2029400000000.0,287260287,14.86,12580,9590,10080,8450,10.41
183300,코미코,KOSDAQ,18.52,270300000000.0,10084626,24.0,47680,36390,61790,42870,10.41
123410,코리아에프티,KOSDAQ,18.48,260500000000.0,27841059,0.0,16610,12690,0,0,10.41
462980,아이지넷,KOSDAQ,18.38,22100000000.0,18234437,0.0,2140,1640,0,0,10.41
104460,디와이피엔에프,KOSDAQ,18.26,149800000000.0,9470498,0.0,27750,21290,0,0,10.41
469610,이노테크,KOSDAQ,18.16,61800000000.0,8934900,0.0,12070,9280,0,0,10.41
021240,코웨이,KOSPI,18.14,3613700000000.0,70128913,17.33,89790,69090,85780,67250,10.41
086280,현대글로비스,KOSPI,18.13,10351200000000.0,75000000,14.35,240370,185000,190250,161990,10.41
039490,키움증권,KOSPI,18.12,6704400000000.0,26228316,16.29,444940,342520,400000,321890,10.41
215200,메가스터디교육,KOSDAQ,18.03,497100000000.0,10353256,14.96,83160,64150,69000,57650,10.41
333430,일승,KOSDAQ,17.79,45800000000.0,30680679,0.0,2550,1980,0,0,10.41
009540,HD한국조선해양,KOSPI,17.78,13286100000000.0,70714630,23.99,320900,248940,432980,300390,10.41
020710,시공테크,KOSDAQ,17.77,185600000000.0,18863265,0.0,16800,13030,0,0,10.41
204610,티쓰리,KOSDAQ,17.72,95400000000.0,50140832,19.04,3240,2520,3480,2630,10.41
005830,DB손해보험,KOSPI,17.72,10880800000000.0,60643469,14.29,305410,237260,246300,210120,10.41
080160,모두투어,KOSDAQ,17.71,92500000000.0,18900000,18.43,8330,6470,8660,6630,10.41
227950,엔투텍,KOSDAQ,17.7,127700000000.0,34508209,0.0,6290,4890,0,0,10.41
018500,동원금속,KOSPI,17.68,133000000000.0,46744805,0.0,4830,3760,0,0,10.41
030190,NICE평가정보,KOSPI,17.62,463900000000.0,58364039,0.0,13450,10480,0,0,10.41
001060,JW중외제약,KOSPI,17.6,369400000000.0,22549518,0.0,27700,21580,0,0,10.41
064400,LG씨엔에스,KOSPI,17.35,2932800000000.0,96885948,16.19,50450,39530,47080,37990,10.41
099410,동방선기,KOSDAQ,17.34,49800000000.0,13946055,0.0,5950,4660,0,0,10.41
089970,브이엠,KOSDAQ,17.33,177200000000.0,24771995,31.13,11910,9340,21390,13690,10.41
179290,엠아이텍,KOSDAQ,17.32,125900000000.0,32365678,0.0,6470,5080,0,0,10.41
318160,셀바이오휴먼텍,KOSDAQ,16.91,56700000000.0,8358060,0.0,11020,8730,0,0,10.41
037460,삼지전자,KOSDAQ,16.89,484400000000.0,14167507,0.0,55470,43960,0,0,10.41
481070,에이유브랜즈,KOSDAQ,16.83,68500000000.0,14260000,0.0,7770,6160,0,0,10.41
140860,파크시스템스,KOSDAQ,16.69,225100000000.0,6954230,21.66,51900,41330,67350,48430,10.41
265740,엔에프씨,KOSDAQ,16.68,65400000000.0,17863600,0.0,5870,4670,0,0,10.41
067730,로지시스,KOSDAQ,16.63,21000000000.0,9673922,0.0,3470,2770,0,0,10.41
051360,토비스,KOSDAQ,16.58,280000000000.0,14917843,0.0,29890,23880,0,0,10.41
003720,삼영,KOSPI,16.58,85500000000.0,32923945,0.0,4140,3300,0,0,10.41
307280,원바이오젠,KOSDAQ,16.55,42700000000.0,6805997,0.0,9970,7970,0,0,10.41
031330,에스에이엠티,KOSDAQ,16.55,486100000000.0,97545067,0.0,7920,6330,0,0,10.41
060250,NHN KCP,KOSDAQ,16.35,294600000000.0,37716317,17.03,12270,9860,12780,10090,10.41
058860,KTis,KOSPI,16.29,238500000000.0,30573062,0.0,12210,9820,0,0,10.41
014940,오리엔탈정공,KOSDAQ,16.26,125400000000.0,45547289,0.0,4300,3460,0,0,10.41
042000,카페24,KOSDAQ,16.23,265900000000.0,24103284,0.0,17200,13860,0,0,10.41
295310,에이치브이엠,KOSDAQ,16.15,90100000000.0,12027291,0.0,11620,9390,0,0,10.41
083450,GST,KOSDAQ,16.15,301200000000.0,17949419,0.0,26030,21030,0,0,10.41
003090,대웅,KOSPI,16.11,1176600000000.0,40890710,0.0,44530,36010,0,0,10.41
950140,잉글우드랩,KOSDAQ,16.09,164600000000.0,19867866,0.0,12810,10360,0,0,10.41
145020,휴젤,KOSDAQ,16.06,950300000000.0,10797092,18.75,135780,109940,158530,120380,10.41
007610,선도전기,KOSPI,16.0,35700000000.0,16969019,0.0,3230,2620,0,0,10.41
012510,더존비즈온,KOSPI,16.0,615200000000.0,25686600,0.0,36810,29850,0,0,10.41
356860,티엘비,KOSDAQ,15.99,126100000000.0,9722630,26.04,19920,16160,32440,21910,10.41
023590,다우기술,KOSPI,15.95,3446400000000.0,43150849,0.0,122370,99380,0,0,10.41
007370,진양제약,KOSDAQ,15.93,159900000000.0,14134587,0.0,17310,14070,0,0,10.41
332570,PS일렉트로닉스,KOSDAQ,15.91,130400000000.0,46158109,0.0,4320,3510,0,0,10.41
078520,에이블씨엔씨,KOSPI,15.88,86600000000.0,23528627,0.0,5610,4570,0,0,10.41
053270,구영테크,KOSDAQ,15.87,154000000000.0,27410405,0.0,8570,6970,0,0,10.41
